produto,idioma,categoria,tipo_artigo,site_oficial,links_afiliados,status,data_publicacao,url_publicada
iPhone 15 Pro Max,pt-BR,smartphones,review,https://lista.mercadolivre.com.br/iphone-15-pro-max,https://afiliado.com/iphone15,completed,2025-12-21,smartphones/iphone-15-pro-max
PlayStation 5 Slim,pt-BR,games,review,https://lista.mercadolivre.com.br/playstation-5-slim,https://afiliado.com/ps5,completed,2025-12-21,games/playstation-5-slim
Notebook Dell Inspiron 15,pt-BR,computadores,review,https://lista.mercadolivre.com.br/notebook-dell-inspiron,https://afiliado.com/dell,completed,2025-12-21,computadores/notebook-dell-inspiron-15
Whey Protein Growth 900g,pt-BR,saude,review,https://lista.mercadolivre.com.br/whey-protein-growth,https://afiliado.com/whey,completed,2025-12-21,saude/whey-protein-growth-900g
Aspirador Robô Xiaomi,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/aspirador-robo-xiaomi,https://afiliado.com/xiaomirobo,completed,2025-12-21,eletrodomesticos/aspirador-robo-xiaomi
Smartwatch Apple Watch SE,pt-BR,tecnologia,review,https://lista.mercadolivre.com.br/apple-watch-se,https://afiliado.com/applewatch,completed,2025-12-21,tecnologia/smartwatch-apple-watch-se
Geladeira Brastemp Frost Free,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/geladeira-brastemp,https://afiliado.com/brastemp,completed,2025-12-21,eletrodomesticos/geladeira-brastemp-frost-free
Cadeira Gamer DT3 Sports,pt-BR,gamer,review,https://lista.mercadolivre.com.br/cadeira-gamer-dt3,https://afiliado.com/cadeiragamer,completed,2025-12-21,gamer/cadeira-gamer-dt3-sports
Fone Bluetooth JBL Tune,pt-BR,audio,review,https://lista.mercadolivre.com.br/fone-jbl-bluetooth,https://afiliado.com/jbl,completed,2025-12-21,audio/fone-bluetooth-jbl-tune
Liquidificador Oster 450W,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/liquidificador-oster,https://afiliado.com/oster,completed,2025-12-21,eletrodomesticos/liquidificador-oster-450w
Panela Pressão Elétrica,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/panela-pressao-eletrica,https://afiliado.com/panelaeletrica,completed,2025-12-21,eletrodomesticos/panela-pressao-eletrica
Samsung Galaxy S24 Ultra,pt-BR,smartphones,review,https://lista.mercadolivre.com.br/galaxy-s24-ultra,https://afiliado.com/s24,completed,2025-12-21,smartphones/samsung-galaxy-s24-ultra
Xbox Series X 1TB,pt-BR,games,review,https://lista.mercadolivre.com.br/xbox-series-x,https://afiliado.com/xbox,completed,2025-12-21,games/xbox-series-x-1tb
Monitor Gamer 144Hz LG,pt-BR,gamer,review,https://lista.mercadolivre.com.br/monitor-gamer-144hz,https://afiliado.com/monitorgamer,completed,2025-12-21,gamer/monitor-gamer-144hz-lg
Esteira Elétrica Motorizada,pt-BR,fitness,review,https://lista.mercadolivre.com.br/esteira-eletrica,https://afiliado.com/esteira,completed,2025-12-21,fitness/esteira-eletrica-motorizada
